customer_id,full_name,email,phone,region,state,segment,join_date,status,is_active,customer_age
CUST-0137,Ronald Spencer,,,Central,,,2025-03-19,Inactive,0,30.0
CUST-0629,Caroline Bailey,chanson@example.org,1809314181.0,West,TX,B2C,2020-08-13,Active,1,63.0
CUST-0185,Jonathan Young,,,Central,TX,B2C,2023-12-10,Active,1,34.0
CUST-0032,Jordan York,larsonemma@example.org,3489513433.0,South,CA,B2B,2021-10-01,Churned,0,
CUST-0678,Kurt Hancock,janet50@example.com,2422711332.0,South,NC,B2C,2025-07-24,Inactive,0,31.0
CUST-0937,Danielle Murphy,,,East,GA,,2023-08-16,Active,1,40.0
CUST-0290,Anthony Jones,,,East,,,2025-03-25,Inactive,0,29.0
CUST-0328,Krystal Barton,,,South,,,2021-11-03,Churned,0,
CUST-0492,Dennis Martin,adam72@example.org,6118005375.0,Central,WA,Guest,2024-01-21,Active,1,66.0
CUST-0395,Chad Moore,fconner@example.net,2085140369.0,West,WA,B2C,2023-04-10,Active,1,18.0
CUST-0667,John Martinez,mark68@example.org,7236687887.0,Central,NC,B2C,2025-02-03,Active,1,42.0
CUST-0546,Donna Stuart,bautistalori@example.net,9504793036.0,North,MA,B2C,2025-08-19,Active,1,29.0
CUST-0870,Jeffrey Green,rubiogeorge@example.net,8527403344.0,East,CA,B2C,2020-10-31,Inactive,0,46.0
CUST-0762,Leon Thompson,,,West,,,2021-08-23,Active,1,24.0
CUST-0257,Steven Griffin Jr.,,,North,TN,,2025-05-15,Active,1,36.0
CUST-0077,Madison Poole,,,South,,,2024-02-05,Churned,0,62.0
CUST-0774,Susan Cox,rodriguezmichael@example.net,1951376515.0,Central,TX,Guest,2020-11-16,Inactive,0,74.0
CUST-0851,Diana Pierce,stuarttodd@example.org,5973278195.0,South,FL,B2C,2022-08-10,Churned,0,62.0
CUST-0332,Shannon Bishop,imartin@example.org,6601367303.0,West,AZ,B2C,2025-05-30,Active,1,51.0
CUST-0630,James Todd,rodriguezbrian@example.net,1434016361.0,South,NC,B2C,2022-05-25,Active,1,20.0
CUST-0969,Jill Walker,changerin@example.net,6552597107.0,East,OH,B2B,2023-07-25,Churned,0,46.0
CUST-0812,John Reynolds,,,Central,,,2021-01-26,Churned,0,64.0
CUST-0378,Sarah Hawkins,codygarcia@example.org,1355699023.0,East,TN,B2C,2020-09-03,Churned,0,30.0
CUST-0723,Seth Smith,ureyes@example.net,8134732354.0,Central,IL,B2C,2022-08-23,Active,1,55.0
CUST-0623,Brittany Shaw,ericnunez@example.com,2688871898.0,North,CO,B2C,2023-02-16,Churned,0,59.0
CUST-0430,Courtney Franklin,jennifer46@example.com,2600780686.0,West,CO,B2C,2025-07-10,Inactive,0,36.0
CUST-0917,Carrie Villarreal,romanmatthew@example.org,9215149409.0,West,OH,B2C,2023-06-13,Churned,0,18.0
CUST-0087,Angel Brown,,,Central,TX,Guest,2024-12-14,Active,1,74.0
CUST-0319,Michael Flynn,,,North,,,2022-02-28,Churned,0,34.0
CUST-0591,Erin Bridges,,,East,,,2026-05-04,Active,1,36.0
CUST-0175,Melissa Myers,,,North,,,2023-01-18,Inactive,0,37.0
CUST-0209,Robert Arnold,jonesraymond@example.net,8571918261.0,Central,MI,B2B,2025-04-12,Inactive,0,19.0
CUST-0520,Adam Allen,katherinetaylor@example.org,8667850720.0,Central,TX,B2B,2023-10-14,Active,1,21.0
CUST-0971,Tanner Mann,adrianjoyce@example.net,9058162951.0,Central,GA,B2C,2020-09-21,Churned,0,57.0
CUST-0954,Charles Scott,moorestephanie@example.net,1234476504.0,North,PA,B2C,2025-01-07,Active,1,28.0
CUST-0114,Jennifer Miller,melissa86@example.com,8582029702.0,North,FL,B2C,2023-04-16,Active,1,24.0
CUST-0440,Cory Wilson,,,East,,,2021-01-06,Active,1,70.0
CUST-0555,Kelli Smith,,,South,FL,,2023-12-02,Active,1,48.0
CUST-0540,Matthew King,ncunningham@example.com,4386870079.0,East,WA,Guest,2021-04-26,Active,1,75.0
CUST-0060,John Schmidt,,,South,,,2024-04-17,Active,1,43.0
CUST-0549,Heather Foster,,,North,,,2022-10-04,Active,1,62.0
CUST-0695,Marc Kelley,vreyes@example.org,9660538444.0,East,MA,Guest,2025-06-07,Churned,0,47.0
CUST-0690,Anna Lang,tdavis@example.net,9910336829.0,West,FL,B2C,2024-05-15,Churned,0,45.0
CUST-0200,Jeremy Acosta,christina64@example.net,1618328569.0,East,AZ,B2C,2026-04-12,Churned,0,22.0
CUST-0779,James White,rodriguezjoshua@example.net,9229812099.0,East,WA,B2C,2024-04-21,Active,1,34.0
CUST-0735,Tasha Ortega,edward56@example.net,8128758575.0,West,GA,B2C,2025-12-18,Active,1,48.0
CUST-0443,Katherine Gallagher,andersonryan@example.com,3702814069.0,South,GA,B2C,2025-04-24,Active,1,35.0
CUST-0517,Bernard Smith,hessbeth@example.net,1307711991.0,North,NC,B2B,2025-09-27,Active,1,39.0
CUST-0948,James Weaver,,,South,,,2023-09-15,Active,1,19.0
CUST-0281,Sara Jones,,,North,,,2020-11-28,Active,1,72.0
CUST-0322,Leslie Powers,david41@example.org,9598762202.0,South,WA,B2C,2022-12-10,Inactive,0,57.0
CUST-0050,William Wilson,jonathanfletcher@example.org,9109477752.0,North,IL,Guest,2023-01-29,Active,1,71.0
CUST-0888,Brad Rivas,rgibson@example.net,3177687290.0,East,GA,B2C,2023-03-01,Churned,0,74.0
CUST-0110,Veronica Allen,xhall@example.com,9221704303.0,North,PA,Guest,2023-02-23,Active,1,57.0
CUST-0981,Cynthia Jones,oduran@example.com,8810390339.0,West,CA,B2C,2023-04-01,Active,1,74.0
CUST-0427,,kaitlyn14@example.org,9265273543.0,East,NY,B2B,2025-05-27,Active,1,62.0
CUST-0409,,christopher86@example.org,4692124471.0,West,TN,Guest,2021-05-23,Inactive,0,23.0
CUST-0962,David Frazier,megan39@example.net,7380442101.0,West,PA,Guest,2024-07-06,Active,1,31.0
CUST-0011,Jonathan Wilkerson,,,West,,,2023-02-01,Active,1,24.0
CUST-0502,Joe Rivera,jonesgregory@example.com,1451583776.0,East,MI,B2C,2026-03-31,Active,1,52.0
