cust_id,full_name,email,phone,region,state,segment,join_date,status,is_active,customer_age
CUST-137,Ronald Spencer,,,Central,,,19-Mar-2025,Inactive,False,30
CUST-629,Caroline Bailey,chanson@example.org,+18093141818,West,TX,B2C,2020-08-13,Active,YES,63
CUST-185,Jonathan Young,,,Central,TX,B2C,2023-12-10,Active,True,34
CUST-032,Jordan York,larsonemma@example.org,348-951 - 3433,South,CA,B2B,01-Oct-2021,Churned,NO,999
CUST-678,Kurt Hancock,janet50@example.com,2422711332,South,NC,B2C,2025-07-24,Inactive,0,31
CUST-937,Danielle Murphy,,,East,GA,,16-Aug-2023,Active,YES,40
CUST-290,Anthony Jones,,,East,,,25-Mar-2025,Inactive,NO,29
CUST-328,Krystal Barton,,,South,,,2021-11-03,Churned,NO,999
CUST-492,Dennis Martin,adam72@example.org,6118005375,Central,WA,Guest,21-Jan-2024,Active,1,66
CUST-395,Chad Moore,fconner@example.net,(208) 514 - 0369,West,WA,B2C,2023-04-10,Active,True,18
CUST-667,John Martinez,mark68@example.org,7236687887,Central,NC,B2C,03-Feb-2025,Active,1,42
CUST-546,Donna Stuart,bautistalori@example.net,950-479 - 3036,North,MA,B2C,08/19/2025,Active,YES,29
CUST-870,Jeffrey Green,rubiogeorge@example.net,8527403344,East,CA,B2C,10/31/2020,Inactive,0,46
CUST-762,Leon Thompson,,,West,,,2021-08-23,Active,1,24
CUST-257,Steven Griffin Jr.,,,North,TN,,05/15/2025,Active,1,36
CUST-077,Madison Poole,,,South,,,05-Feb-2024,Churned,False,62
CUST-774,Susan Cox,rodriguezmichael@example.net,+19513765158,Central,TX,Guest,11/16/2020,Inactive,NO,74
CUST-851,Diana Pierce,stuarttodd@example.org,5973278195,South,FL,B2C,2022-08-10,Churned,NO,62
CUST-332,Shannon Bishop,imartin@example.org,660-136 - 7303,West,AZ,B2C,05/30/2025,Active,1,51
CUST-630,James Todd,rodriguezbrian@example.net,+14340163611,South,NC,B2C,2022-05-25,Active,True,20
CUST-969,Jill Walker,changerin@example.net,655-259 - 7107,East,OH,B2B,25-Jul-2023,Churned,False,46
CUST-812,John Reynolds,,,Central,,,26-Jan-2021,Churned,False,64
CUST-378,Sarah Hawkins,codygarcia@example.org,+13556990235,East,TN,B2C,09/03/2020,Churned,NO,30
CUST-723,Seth Smith,ureyes@example.net,8134732354,Central,IL,B2C,2022-08-23,Active,YES,55
CUST-623,Brittany Shaw,ericnunez@example.com,268-887 - 1898,North,CO,B2C,2023-02-16,Churned,NO,59
CUST-430,Courtney Franklin,jennifer46@example.com,260-078 - 0686,West,CO,B2C,10-Jul-2025,Inactive,False,36
CUST-917,Carrie Villarreal,romanmatthew@example.org,(921) 514 - 9409,West,OH,B2C,2023-06-13,Churned,False,18
CUST-087,Angel Brown,,,Central,TX,Guest,12/14/2024,Active,1,74
CUST-319,Michael Flynn,,,North,,,2022-02-28,Churned,NO,34
CUST-591,Erin Bridges,,,East,,,2026-05-04,Active,1,36
CUST-175,Melissa Myers,,,North,,,18-Jan-2023,Inactive,NO,37
CUST-209,Robert Arnold,jonesraymond@example.net,857-191 - 8261,Central,MI,B2B,12-Apr-2025,Inactive,False,19
CUST-520,Adam Allen,katherinetaylor@example.org,866-785 - 0720,Central,TX,B2B,10/14/2023,Active,True,21
CUST-971,Tanner Mann,adrianjoyce@example.net,905-816 - 2951,Central,GA,B2C,2020-09-21,Churned,NO,57
CUST-954,Charles Scott,moorestephanie@example.net,+12344765047,North,PA,B2C,01/07/2025,Active,1,28
CUST-114,Jennifer Miller,melissa86@example.com,(858) 202 - 9702,North,FL,B2C,04/16/2023,Active,YES,24
CUST-440,Cory Wilson,,,East,,,06-Jan-2021,Active,YES,70
C555,Kelli Smith,,,South,FL,,02-Dec-2023,Active,True,48
CUST-540,Matthew King,ncunningham@example.com,438-687 - 0079,East,WA,Guest,2021-04-26,Active,YES,75
CUST-060,John Schmidt,,,South,,,04/17/2024,Active,YES,43
CUST-549,Heather Foster,,,North,,,2022-10-04,Active,True,62
CUST-695,Marc Kelley,vreyes@example.org,(966) 053 - 8444,East,MA,Guest,2025-06-07,Churned,NO,47
C690,Anna Lang,tdavis@example.net,9910336829,West,FL,B2C,05/15/2024,Churned,False,45
CUST-200,Jeremy Acosta,christina64@example.net,+16183285691,East,AZ,B2C,04/12/2026,Churned,NO,22
CUST-779,James White,rodriguezjoshua@example.net,9229812099,East,WA,B2C,2024-04-21,Active,1,34
C735,Tasha Ortega,edward56@example.net,812-875 - 8575,West,GA,B2C,2025-12-18,Active,YES,48
CUST-443,Katherine Gallagher,andersonryan@example.com,3702814069,South,GA,B2C,2025-04-24,Active,True,35
C517,Bernard Smith,hessbeth@example.net,+13077119918,North,NC,B2B,09/27/2025,Active,True,39
CUST-948,James Weaver,,,South,,,15-Sep-2023,Active,1,19
CUST-281,Sara Jones,,,North,,,28-Nov-2020,Active,YES,72
CUST-322,Leslie Powers,david41@example.org,9598762202,South,WA,B2C,2022-12-10,Inactive,0,57
CUST-050,William Wilson,jonathanfletcher@example.org,910-947 - 7752,North,IL,Guest,29-Jan-2023,Active,True,71
CUST-888,Brad Rivas,rgibson@example.net,(317) 768 - 7290,East,GA,B2C,2023-03-01,Churned,0,74
CUST-110,Veronica Allen,xhall@example.com,9221704303,North,PA,Guest,23-Feb-2023,Active,YES,57
CUST-981,Cynthia Jones,oduran@example.com,(881) 039 - 0339,West,CA,B2C,01-Apr-2023,Active,YES,74
CUST-427,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,kaitlyn14@example.org,926-527 - 3543,East,NY,B2B,27-May-2025,Active,1,62
CUST-409,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,christopher86@example.org,(469) 212 - 4471,West,TN,Guest,05/23/2021,Inactive,0,23
CUST-962,David Frazier,megan39@example.net,7380442101,West,PA,Guest,2024-07-06,Active,1,31
CUST-011,Jonathan Wilkerson,,,West,,,02/01/2023,Active,YES,24
CUST-502,Joe Rivera,jonesgregory@example.com,+14515837767,East,MI,B2C,31-Mar-2026,Active,True,52
CUST-524,Laura Bennett,pdiaz@example.org,+14008943468,North,AZ,B2B,26-Aug-2022,Active,YES,55
CUST-662,Kevin Alvarez,mramos@example.net,+13001841862,North,TN,B2B,10-Aug-2024,Active,YES,25
CUST-071,Marissa Webster,,,North,,,29-Dec-2020,Inactive,False,45
CUST-0061,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,juliawells@example.com,(474) 846 - 7737,Central,NY,B2C,14-Sep-2024,Churned,NO,31
CUST-627,Nancy Sanchez,,,East,,,03/08/2025,Active,1,33
C262,Cameron Irwin,,,South,,,24-Dec-2024,Churned,0,75
CUST-362,Carol Moore,shannonemily@example.org,+15933051728,Central,GA,B2C,29-Aug-2024,Active,YES,65
CUST-399,Blake Reed,gary15@example.com,(951) 971 - 2847,Central,TX,B2C,08/09/2021,Active,True,23
CUST-343,Mariah Williams,jessica36@example.net,819-576 - 1228,West,NC,B2C,29-Jul-2023,Active,YES,72
CUST-437,Carl Green,,,South,,,2022-11-28,Active,1,26
CUST-531,Lawrence Ruiz,ajackson@example.net,+14701851067,Central,IL,B2C,02/20/2021,Churned,NO,69
CUST-333,Laura Patel,mariopadilla@example.com,845-208 - 8147,East,FL,B2C,2022-03-03,Active,1,70
CUST-140,Jason Wilson,,,East,,,11/08/2020,Inactive,0,64
CUST-882,Brittany Farrell,jbrown@example.org,(489) 812 - 3179,East,AZ,Guest,08/03/2024,Active,1,55
CUST-760,Stephanie Hall,nguyencorey@example.net,+15845881056,Central,GA,B2C,06-Feb-2022,Active,True,34
CUST-313,Brittany Cuevas,,,Central,,,01-Jun-2025,Active,1,40
CUST-925,Jeffrey Hardin,,,East,,,2022-05-08,Active,YES,39
CUST-142,Mason Johnson,bboone@example.net,654-990 - 4530,North,GA,B2C,2024-11-05,Active,True,20
C300,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,,,East,,,07-Nov-2021,Active,1,56
CUST-777,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,brownmichael@example.com,3206021288,West,TN,B2C,30-May-2023,Active,True,63
CUST-718,Susan Stevenson,lwood@example.com,+19281235679,Central,FL,B2C,2021-05-11,Active,YES,48
CUST-949,Laura Hogan,ann18@example.org,(797) 752 - 4418,South,TN,Guest,2021-10-26,Active,YES,60
C89,Jennifer Jones,,,South,,,19-May-2021,Active,True,27
CUST-843,Daniel Flynn,william46@example.net,2555572773,Central,AZ,B2B,04-Dec-2024,Active,YES,33
CUST-306,Krista Benton,nhahn@example.com,6902770384,South,CA,B2C,2021-12-10,Active,1,57
CUST-102,Jennifer Robertson,,,West,,,2021-05-25,Inactive,False,20
CUST-311,Lonnie Hart,vrasmussen@example.com,(634) 165 - 1827,East,PA,B2B,06-Jun-2023,Active,YES,68
CUST-860,Robert Martinez,,,Central,,,15-May-2026,Active,1,20
CUST-452,Elizabeth Stanley,,,East,,,30-Mar-2026,Active,YES,999
CUST-097,Kyle Preston,,,South,,,2024-08-11,Active,1,35
CUST-815,Hannah Martin,williamjones@example.net,4781050922,South,TX,B2C,2022-10-08,Inactive,NO,34
CUST-793,Kayla Brown,raymond65@example.com,(355) 810 - 8358,South,NY,B2C,2023-02-11,Active,1,51
CUST-031,Kimberly Adkins,,,Central,,,2020-11-27,Churned,NO,60
CUST-159,James Padilla,charles06@example.org,(210) 062 - 3120,South,NC,B2C,27-Jan-2024,Active,1,22
CUST-689,Melissa Jensen,martin38@example.org,455-027 - 2751,West,IL,B2C,10/06/2025,Active,YES,35
CUST-055,Jeremy Lewis,,,Central,,,02/25/2023,Active,True,29
CUST-024,Carlos Walls,,,East,,,07/16/2024,Inactive,0,63
CUST-612,Jimmy Ortega,jacksonhenry@example.com,(766) 863 - 3414,North,TX,B2B,25-Apr-2025,Inactive,0,25
CUST-740,Michael Mosley,tom73@example.org,9601467238,East,MA,B2C,01/11/2026,Active,1,32
CUST-645,Cole Anderson,,,South,TX,,27-Sep-2022,Active,1,59
CUST-634,Amy Pena,jonesdonna@example.net,+13465111312,Central,CA,B2B,03-May-2026,Active,True,20
CUST-602,Ronald Rocha,,,West,,,05/24/2024,Active,1,72
CUST-179,Brittany White,jenniferwilliams@example.com,482-586 - 7362,South,WA,B2C,11-Jul-2021,Active,YES,20
CUST-004,Christopher Bernard,curtis61@example.com,+15103413164,West,WA,B2C,03-Jan-2024,Active,YES,20
C278,Juan Silva,,,West,,,08/26/2021,Churned,0,27
CUST-594,Christine Price,sharon20@example.net,367-423 - 3629,South,IL,B2C,11/04/2024,Active,YES,43
CUST-293,Jeffrey Roberson,,,Central,,,2023-05-09,Inactive,False,46
CUST-299,Jason Maxwell,ashleyjackson@example.com,(862) 103 - 8862,Central,TX,B2B,09/08/2023,Churned,0,67
CUST-817,Tami York,,,South,GA,B2B,01-Apr-2021,Active,True,69
CUST-874,Alyssa Cherry,christinesolomon@example.com,+16021557325,West,FL,B2C,20-Nov-2023,Active,1,65
CUST-232,Dana Armstrong,leescott@example.com,5741608989,Central,NY,B2B,01-Sep-2021,Inactive,False,33
CUST-211,Joseph Anderson,,,East,,,03/28/2024,Active,1,73
CUST-459,Steven Friedman,natalie15@example.com,213-875 - 9271,South,MA,B2C,10-Nov-2021,Active,1,38
CUST-924,Mike Perry,edwardmolina@example.com,+14728270908,North,CO,Guest,18-Feb-2021,Churned,NO,74
CUST-933,Ronnie Torres,hbenitez@example.net,6346066643,West,IL,B2C,13-Jun-2025,Active,YES,18
CUST-914,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,laura29@example.org,8964546553,East,NC,B2C,09/24/2023,Churned,NO,63
CUST-406,Monica Baker,kenneth10@example.com,+18580185694,East,IL,B2C,2025-02-14,Active,YES,67
CUST-064,Amy Russell,,,Central,,,2021-09-16,Inactive,NO,38
CUST-320,Brian Lambert,,,East,,,08-Mar-2023,Active,True,64
CUST-469,Jonathan Stewart,bmcgee@example.org,7450090255,Central,CA,B2C,22-Mar-2024,Active,YES,24
CUST-441,Curtis Ortiz,tthomas@example.org,255-257 - 8284,North,TN,B2B,09/10/2021,Churned,False,42
CUST-101,Robin Pierce,qmiller@example.com,(792) 962 - 2292,West,CA,B2C,17-Jan-2026,Inactive,0,44
CUST-337,Paul Neal,shawn75@example.net,4855749821,Central,NY,B2C,03/15/2021,Inactive,NO,48
CUST-451,Jennifer James,thomas23@example.net,+12456504481,Central,FL,B2C,10/26/2020,Active,True,49
CUST-409,James Burns,christopher86@example.org,(469) 212 - 4471,West,TN,Guest,05/23/2021,Inactive,NO,26
CUST-108,Katie Hoover,,,West,,,04/20/2023,Active,1,39
CUST-169,Rebecca Huang,,,West,NY,,2025-05-07,Active,YES,38
CUST-040,Donald Smith,,,South,,,2025-10-21,Active,YES,59
CUST-199,Brian Murphy,,,North,,,2025-01-18,Active,1,21
CUST-238,Regina Roberts,,9850821486,South,CO,Guest,07-May-2023,Churned,0,52
CUST-576,Mary Shepard,clarkrandy@example.org,370-580 - 2566,South,TX,B2B,2021-06-22,Active,True,67
CUST-193,Harold Morgan,mariacohen@example.net,(636) 110 - 3712,Central,FL,B2C,2023-03-29,Active,True,70
CUST-705,Karen Lopez,xbridges@example.com,8342346199,East,NY,B2C,2022-03-17,Churned,False,36
CUST-724,Anne Schmidt,stephanie69@example.net,6325122572,North,WA,B2C,21-Mar-2026,Active,YES,47
CUST-067,Michael Yates,,,South,,,2020-08-28,Active,True,70
CUST-068,James Elliott,,,West,,,14-Dec-2024,Active,YES,38
CUST-921,Shelby Bartlett,jessicaerickson@example.net,+14647124633,East,WA,B2C,2021-10-30,Active,YES,31
CUST-498,Allison Black,willie87@example.com,+15908926137,North,TN,B2C,02-Jan-2025,Active,1,53
CUST-214,Caroline David,georgeweber@example.net,851-994 - 1013,West,CO,B2B,03/16/2021,Churned,NO,67
CUST-831,James Stevens,thompsondonna@example.com,758-099 - 6132,West,FL,B2B,2024-03-28,Active,1,48
CUST-835,Hannah Harmon,hubbardcolleen@example.com,812-059 - 4389,West,OH,B2B,2021-07-02,Active,True,33
CUST-650,Stacy Patterson,franklinmadison@example.net,(537) 118 - 9547,South,NC,B2C,03/05/2023,Active,1,62
CUST-351,Chelsea Myers,bowerslaura@example.org,(822) 783 - 7693,Central,MI,Guest,2024-10-24,Active,True,67
CUST-862,Pamela Sullivan,hillchristopher@example.com,+15128403339,Central,GA,B2C,02/09/2023,Active,1,47
CUST-603,Jordan Parsons,bgross@example.net,4522372817,Central,MA,B2B,08/26/2022,Active,1,74
CUST-559,Katherine Smith,charlesnathan@example.com,537-933 - 7563,West,NY,B2C,02/27/2026,Active,True,26
CUST-878,Megan Anderson,carpenterjorge@example.net,8940960035,West,NY,B2C,12/25/2022,Active,YES,24
CUST-788,Tanya Moore,,,West,,,24-Aug-2021,Active,YES,69
CUST-931,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x0000021DDB596D00>>,abigailfernandez@example.org,713-739 - 9006,South,TN,B2C,09/21/2020,Churned,0,45
CUST-746,Summer Hoover,bryantgeorge@example.net,(431) 177 - 5331,South,AZ,Guest,16-Nov-2021,Inactive,0,33
CUST-309,Jonathon Knapp,ystephens@example.com,(384) 518 - 4894,West,OH,B2C,12-May-2025,Inactive,False,23
CUST-707,Vanessa Taylor,dawnperry@example.com,(408) 496 - 4985,West,CA,B2B,2024-07-20,Inactive,0,999
CUST-405,Jessica Brown,jamie36@example.net,(967) 478 - 3667,East,NY,B2C,10/24/2021,Active,True,53
CUST-003,Jennifer Cole,lisa02@example.net,+13615594078,North,TN,B2C,12/09/2025,Active,YES,27
CUST-431,Daniel Turner,asilva@example.net,5180632543,North,CA,B2C,2023-05-18,Active,1,20
CUST-545,Austin Walker,lynchjenny@example.com,(953) 703 - 0453,North,MA,B2C,07/07/2025,Active,YES,28
CUST-771,Nicole Johnson,iford@example.net,+16902504290,North,MI,B2B,2024-04-25,Active,YES,19
CUST-345,Greg Martinez,ebenson@example.org,+19760049082,East,CA,B2C,2020-06-27,Active,YES,68
CUST-980,Sara Wright,vallen@example.org,203-322 - 8556,West,CA,B2C,2025-09-26,Active,True,66
CUST-987,Jordan Kelly,,,East,,,04/14/2025,Active,True,27
CUST-785,William Franco,evanwilson@example.com,(485) 478 - 1506,North,TN,B2C,2024-12-18,Active,1,72
CUST-484,Stephanie Ferguson,hstokes@example.org,+13343275604,North,MA,B2C,2023-12-18,Active,YES,23
CUST-916,Katherine Young,kiddmichael@example.com,690-797 - 7961,South,CA,B2C,2023-12-13,Active,1,64
