rep_id,rep_name,team,manager,hire_date,is_active,end_date
REP-034,Michael Brooks,SMB,Cristian Santos,16-Sep-2019,1,
REP-001,James Howard,,,,True,
REP-035,David Brown,SMB,Daniel Wagner,2023-03-19,0,2022-08-18
REP-013,Thomas Bradley,,,,YES,
REP-011,Melinda Cameron,,,,YES,
R-065,  joshua turner  ,Enterprise,Daniel Wagner,2017-02-02,YES,
REP-031,Betty Alvarez,Enterprise,Connie Lawrence,06/21/2023,YES,
SR5,Benjamin Stanley,,,,YES,
REP-050,Mrs. Rachel Gibson,Retail,Daniel Wagner,2014-06-11,YES,
REP-067,Shawn Baker,Partner,Allison Hill,10-Sep-2025,0,
REP-062,Zachary Ferrell,,,,YES,
REP-023,Jeffrey Chavez,SMB,Angie Henderson,03/11/2020,1,
REP-073,Kristen Patterson,SMB,Cristian Santos,2017-02-26,True,
REP-055,Tyler Miller,Partner,Gina Moore,06/11/2023,1,
REP-019,Jennifer Brown,Retail,Angie Henderson,2017-02-16,YES,
REP-045,Joel Baxter,Enterprise,Allison Hill,08/01/2021,NO,2022-11-27
REP-032,Joseph Obrien,Partner,Noah Rhodes,10/05/2023,True,
REP-059,Taylor Harris,Enterprise,Abigail Shaffer,09-Jan-2024,1,
SR10,Devin Schaefer,Partner,Connie Lawrence,09-Mar-2017,1,
REP-006,Dr. Sharon James,SMB,Abigail Shaffer,05/01/2019,YES,
REP-036,Crystal Robinson,,,,1,
REP-040,Richard Aguirre,Enterprise,Daniel Wagner,2024-03-17,NO,
REP-068,Brittney Campbell,Enterprise,Angie Henderson,2016-03-24,YES,
REP-054,John Calhoun,Partner,Allison Hill,05/19/2015,1,
REP-041,Matthew Gomez,Partner,Angie Henderson,08/24/2017,1,
REP-017,Daniel Bright,SMB,Allison Hill,05/01/2024,YES,
REP-043,James Morgan,SMB,Noah Rhodes,2025-05-26,True,
REP-048,Sarah Martin,Retail,Noah Rhodes,12/29/2015,True,
REP-051,Monica Logan,Retail,Allison Hill,08/08/2021,NO,
REP-008,Mia Sutton,Online,Cristian Santos,2017-12-20,True,
REP-029,David Bradley,,,,False,
REP-075,Sandra Aguilar,SMB,Allison Hill,10-Dec-2016,YES,
REP-046,Scott Pierce,SMB,Daniel Wagner,09/09/2015,True,
REP-070,Danielle Odonnell,,Daniel Wagner,11/24/2018,1,
REP-020,Julie King,Partner,Cristian Santos,24-Nov-2020,1,
REP-066,Mary Spencer,Partner,Cristian Santos,2025-07-13,1,
REP-026,James Martin,Partner,Cristian Santos,07-Oct-2024,1,
REP-056,Barry Hensley,SMB,Allison Hill,26-Jul-2017,0,
REP-014,Jonathan Wilkerson,Enterprise,Angie Henderson,2019-10-05,1,
REP-057,Steve Sanchez,Enterprise,Noah Rhodes,04/10/2021,1,
REP-004,Lisa Hensley,Partner,Daniel Wagner,05/24/2019,1,
REP-018,Peter Callahan Jr.,SMB,Connie Lawrence,01/28/2023,True,
REP-039,Mr. Nathaniel Khan,Enterprise,Daniel Wagner,14-Oct-2025,True,
REP-009,Carolyn Daniel,Enterprise,Abigail Shaffer,15-Aug-2015,True,
REP-063,Katie Anderson,Enterprise,Gina Moore,08/27/2015,0,2016-05-18
SR7,Holly Wood,Online,Noah Rhodes,2028-01-01,True,
REP-037,Amy Jones,SMB,Noah Rhodes,08/13/2015,YES,
R-023,  jeffrey chavez  ,SMB,Angie Henderson,03/11/2020,1,
REP-065,Joshua Turner,Enterprise,Daniel Wagner,2017-02-02,YES,
REP-047,Kimberly Smith,Retail,Angie Henderson,2028-01-01,YES,
R-051,  monica logan  ,Retail,Allison Hill,08/08/2021,NO,
SR16,Nicole Patterson,Partner,Daniel Wagner,16-Dec-2023,0,2023-10-27
REP-028,Sherry Decker,Online,Angie Henderson,23-Apr-2016,1,
REP-042,Nicholas Nunez,Partner,Gina Moore,26-May-2021,False,
REP-027,Linda Burns,Retail,Angie Henderson,2023-06-06,YES,
REP-049,Dr. Steven Martin,Enterprise,Noah Rhodes,01-Sep-2022,True,
REP-025,Elizabeth Fowler,Online,Allison Hill,20-Mar-2016,0,2015-09-15
REP-044,Connor West,Retail,Abigail Shaffer,2016-04-06,YES,
REP-071,Jeff Hill,Partner,Gina Moore,2015-04-09,YES,
REP-058,Bradley Sandoval,Enterprise,Daniel Wagner,2024-07-09,0,
REP-012,Andrew Stewart,Enterprise,Abigail Shaffer,05/11/2015,NO,2014-10-07
REP-033,Nicole Vaughn,Partner,Angie Henderson,01/04/2018,True,
REP-074,Tony Vazquez,Retail,Allison Hill,28-Jul-2014,True,
REP-060,James Powers,Online,Cristian Santos,02-Oct-2019,True,
REP-064,Sherry Wood,,,,0,
REP-069,Christina Walters,Partner,Angie Henderson,12/27/2017,YES,
REP-038,Andrea Young,SMB,Daniel Wagner,2028-01-01,True,
REP-030,John Jones,Partner,Allison Hill,09/30/2015,1,
REP-002,Renee Blair,Partner,Noah Rhodes,04/04/2020,1,
SR53,Kimberly Adkins,Retail,Angie Henderson,27-May-2015,False,
REP-022,Nicole Mack,Partner,Gina Moore,01/02/2026,False,
REP-003,Thomas Miller,Enterprise,Daniel Wagner,07/13/2023,True,
REP-024,Pamela Romero,Retail,Abigail Shaffer,11/20/2018,1,
REP-021,Alexandra Le,Retail,Connie Lawrence,26-Oct-2023,True,
REP-061,Timothy Walls,SMB,Cristian Santos,2019-07-06,YES,
REP-072,Carlos Whitney,Enterprise,Abigail Shaffer,06/20/2014,NO,
REP-015,Derek Wright,Retail,Abigail Shaffer,05/05/2025,YES,
REP-052,Brittney Phillips,Online,Abigail Shaffer,2025-08-31,1,
